,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,T_index,Time
0,18513.0,0.0,186.0,1.0,0.0,0.0,0.0,0.0,1,1
1,18513.0,0.0,185.0,2.0,0.0,0.0,0.0,0.0,2,2
2,18512.0,1.0,185.0,2.0,0.0,0.0,0.0,0.0,3,3
3,18511.0,2.0,185.0,2.0,0.0,0.0,0.0,0.0,4,4
4,18511.0,2.0,184.0,3.0,0.0,0.0,0.0,0.0,5,5
5,18511.0,2.0,183.0,4.0,0.0,0.0,0.0,0.0,6,6
6,18511.0,2.0,182.0,5.0,0.0,0.0,0.0,0.0,7,7
7,18511.0,2.0,181.0,5.0,1.0,0.0,0.0,0.0,8,8
8,18510.0,3.0,181.0,5.0,1.0,0.0,0.0,0.0,9,9
9,18510.0,3.0,180.0,5.0,2.0,0.0,0.0,0.0,10,10
10,18510.0,3.0,179.0,5.0,3.0,0.0,0.0,0.0,11,11
11,18510.0,3.0,178.0,5.0,4.0,0.0,0.0,0.0,12,12
12,18510.0,3.0,177.0,5.0,5.0,0.0,0.0,0.0,13,13
13,18510.0,3.0,176.0,6.0,5.0,0.0,0.0,0.0,14,14
14,18509.0,4.0,176.0,6.0,5.0,0.0,0.0,0.0,15,15
15,18508.0,5.0,176.0,6.0,5.0,0.0,0.0,0.0,16,16
16,18507.0,6.0,176.0,6.0,5.0,0.0,0.0,0.0,17,17
17,18506.0,7.0,176.0,6.0,5.0,0.0,0.0,0.0,18,18
18,18505.0,8.0,176.0,6.0,5.0,0.0,0.0,0.0,19,19
19,18505.0,8.0,175.0,6.0,6.0,0.0,0.0,0.0,20,20
20,18504.0,9.0,175.0,6.0,6.0,0.0,0.0,0.0,21,21
21,18504.0,9.0,174.0,7.0,6.0,0.0,0.0,0.0,22,22
22,18504.0,9.0,173.0,8.0,6.0,0.0,0.0,0.0,23,23
23,18503.0,10.0,173.0,8.0,6.0,0.0,0.0,0.0,24,24
24,18502.0,11.0,173.0,8.0,6.0,0.0,0.0,0.0,25,25
25,18502.0,11.0,172.0,9.0,6.0,0.0,0.0,0.0,26,26
26,18501.0,12.0,172.0,9.0,6.0,0.0,0.0,0.0,27,27
27,18500.0,13.0,172.0,9.0,6.0,0.0,0.0,0.0,28,28
28,18500.0,13.0,171.0,9.0,7.0,0.0,0.0,0.0,29,29
29,18500.0,13.0,170.0,10.0,7.0,0.0,0.0,0.0,30,30
30,18500.0,13.0,169.0,11.0,7.0,0.0,0.0,0.0,31,31
31,18500.0,13.0,168.0,11.0,8.0,0.0,0.0,0.0,32,32
32,18499.0,14.0,168.0,11.0,8.0,0.0,0.0,0.0,33,33
33,18499.0,14.0,167.0,12.0,8.0,0.0,0.0,0.0,34,34
34,18499.0,14.0,166.0,13.0,8.0,0.0,0.0,0.0,35,35
35,18498.0,15.0,166.0,13.0,8.0,0.0,0.0,0.0,36,36
36,18497.0,16.0,166.0,13.0,8.0,0.0,0.0,0.0,37,37
37,18496.0,17.0,166.0,13.0,8.0,0.0,0.0,0.0,38,38
38,18496.0,17.0,165.0,13.0,9.0,0.0,0.0,0.0,39,39
39,18495.0,18.0,165.0,13.0,9.0,0.0,0.0,0.0,40,40
40,18495.0,18.0,164.0,14.0,9.0,0.0,0.0,0.0,41,41
41,18495.0,18.0,163.0,15.0,9.0,0.0,0.0,0.0,42,42
42,18494.0,19.0,163.0,15.0,9.0,0.0,0.0,0.0,43,43
43,18494.0,19.0,162.0,15.0,10.0,0.0,0.0,0.0,44,44
44,18494.0,19.0,161.0,16.0,10.0,0.0,0.0,0.0,45,45
45,18494.0,19.0,160.0,16.0,11.0,0.0,0.0,0.0,46,46
46,18494.0,19.0,159.0,16.0,12.0,0.0,0.0,0.0,47,47
47,18494.0,19.0,159.0,15.0,12.0,0.0,1.0,0.0,48,48
48,18494.0,19.0,158.0,15.0,13.0,0.0,1.0,0.0,49,49
49,18493.0,20.0,158.0,15.0,13.0,0.0,1.0,0.0,50,50
50,18493.0,20.0,157.0,15.0,14.0,0.0,1.0,0.0,51,51
51,18492.0,21.0,157.0,15.0,14.0,0.0,1.0,0.0,52,52
52,18492.0,21.0,157.0,15.0,13.0,0.0,2.0,0.0,53,53
53,18491.0,22.0,157.0,15.0,13.0,0.0,2.0,0.0,54,54
54,18491.0,22.0,156.0,16.0,13.0,0.0,2.0,0.0,55,55
55,18491.0,22.0,155.0,17.0,13.0,0.0,2.0,0.0,56,56
56,18491.0,22.0,154.0,18.0,13.0,0.0,2.0,0.0,57,57
57,18491.0,22.0,153.0,18.0,14.0,0.0,2.0,0.0,58,58
58,18490.0,23.0,153.0,18.0,14.0,0.0,2.0,0.0,59,59
59,18490.0,23.0,152.0,19.0,14.0,0.0,2.0,0.0,60,60
60,18490.0,23.0,151.0,19.0,15.0,0.0,2.0,0.0,61,61
61,18490.0,22.0,152.0,19.0,15.0,0.0,2.0,0.0,62,62
