,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18694.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
1,18687.0,7.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15,2
2,18676.0,15.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30,3
3,18661.0,27.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49,4
4,18640.0,41.0,13.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,79,5
5,18617.0,48.0,27.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,120,6
6,18568.0,83.0,35.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,191,7
7,18506.0,129.0,43.0,10.0,9.0,0.0,3.0,0.0,0.0,0.0,0.0,278,8
8,18416.0,180.0,64.0,14.0,22.0,0.0,4.0,0.0,0.0,0.0,0.0,426,9
9,18262.0,290.0,92.0,18.0,32.0,0.0,6.0,0.0,0.0,0.0,0.0,642,10
10,18056.0,435.0,130.0,26.0,45.0,0.0,8.0,0.0,0.0,0.0,0.0,934,11
11,17737.0,641.0,211.0,41.0,59.0,0.0,11.0,0.0,0.0,0.0,0.0,1401,12
12,17305.0,926.0,306.0,65.0,80.0,1.0,17.0,0.0,0.0,0.0,0.0,2039,13
13,16658.0,1351.0,447.0,86.0,134.0,1.0,23.0,0.0,0.0,0.0,0.0,2995,14
14,15761.0,1940.0,634.0,132.0,198.0,0.0,34.0,1.0,0.0,0.0,0.0,4333,15
15,14600.0,2647.0,895.0,193.0,306.0,4.0,54.0,1.0,0.0,0.0,0.0,6165,16
16,13037.0,3604.0,1308.0,261.0,407.0,3.0,77.0,3.0,0.0,0.0,0.0,8553,17
17,11122.0,4711.0,1816.0,350.0,572.0,2.0,123.0,4.0,0.0,0.0,0.0,11624,18
18,8866.0,5866.0,2509.0,476.0,803.0,4.0,172.0,4.0,0.0,0.0,0.0,15440,19
19,6617.0,6901.0,3196.0,658.0,1078.0,4.0,240.0,6.0,0.0,0.0,0.0,19502,20
20,4562.0,7549.0,3919.0,906.0,1397.0,8.0,350.0,9.0,0.0,0.0,0.0,23768,21
21,2813.0,7746.0,4606.0,1200.0,1814.0,10.0,500.0,11.0,0.0,0.0,0.0,28091,22
22,1622.0,7461.0,5181.0,1475.0,2270.0,12.0,666.0,13.0,0.0,0.0,0.0,31831,23
23,832.0,6865.0,5535.0,1782.0,2768.0,11.0,889.0,18.0,0.0,0.0,0.0,35271,24
24,424.0,6003.0,5748.0,2094.0,3225.0,20.0,1165.0,21.0,0.0,0.0,0.0,38297,25
25,196.0,5111.0,5703.0,2430.0,3727.0,20.0,1479.0,34.0,0.0,0.0,0.0,41150,26
26,88.0,4317.0,5507.0,2698.0,4178.0,20.0,1849.0,43.0,0.0,0.0,0.0,43646,27
27,26.0,3578.0,5245.0,2961.0,4530.0,24.0,2286.0,50.0,0.0,0.0,0.0,46027,28
28,11.0,2952.0,4936.0,3141.0,4837.0,31.0,2731.0,61.0,0.0,0.0,0.0,48107,29
29,2.0,2434.0,4573.0,3313.0,5104.0,37.0,3163.0,74.0,0.0,0.0,0.0,49997,30
