,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18697.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1
1,18696.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,2
2,18695.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4,3
3,18694.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,5,4
4,18694.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6,5
5,18693.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,7,6
6,18690.0,5.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,12,7
7,18685.0,8.0,4.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,20,8
8,18679.0,13.0,3.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,29,9
9,18673.0,16.0,6.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,38,10
10,18666.0,18.0,9.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,52,11
11,18658.0,24.0,10.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,64,12
12,18645.0,31.0,16.0,4.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,84,13
13,18630.0,39.0,19.0,4.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,111,14
14,18609.0,51.0,21.0,7.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,149,15
15,18584.0,63.0,31.0,8.0,9.0,0.0,5.0,0.0,0.0,0.0,0.0,190,16
16,18553.0,78.0,40.0,10.0,12.0,0.0,7.0,0.0,0.0,0.0,0.0,246,17
17,18505.0,109.0,45.0,14.0,19.0,0.0,8.0,0.0,0.0,0.0,0.0,324,18
18,18437.0,154.0,54.0,19.0,26.0,0.0,10.0,0.0,0.0,0.0,0.0,431,19
19,18372.0,185.0,76.0,23.0,28.0,0.0,16.0,0.0,0.0,0.0,0.0,548,20
20,18271.0,236.0,112.0,26.0,37.0,0.0,18.0,0.0,0.0,0.0,0.0,715,21
21,18139.0,316.0,136.0,32.0,54.0,0.0,23.0,0.0,0.0,0.0,0.0,932,22
