,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18697.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18695.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
2,18693.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
3,18690.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,11,4
4,18688.0,7.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14,5
5,18684.0,10.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19,6
6,18676.0,15.0,6.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30,7
7,18673.0,16.0,8.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,35,8
8,18661.0,23.0,13.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52,9
9,18653.0,29.0,13.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,64,10
10,18636.0,41.0,17.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,87,11
11,18625.0,38.0,31.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,113,12
12,18608.0,43.0,36.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,149,13
13,18581.0,61.0,39.0,8.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,191,14
14,18532.0,95.0,48.0,8.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,265,15
15,18473.0,138.0,54.0,15.0,11.0,0.0,9.0,0.0,0.0,0.0,0.0,354,16
16,18423.0,160.0,62.0,28.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,452,17
17,18361.0,186.0,82.0,31.0,28.0,0.0,12.0,0.0,0.0,0.0,0.0,569,18
18,18249.0,251.0,116.0,34.0,33.0,0.0,17.0,0.0,0.0,0.0,0.0,746,19
19,18116.0,336.0,149.0,40.0,38.0,1.0,20.0,0.0,0.0,0.0,0.0,946,20
20,17938.0,442.0,192.0,51.0,53.0,0.0,23.0,1.0,0.0,0.0,0.0,1229,21
21,17715.0,558.0,254.0,66.0,81.0,0.0,25.0,1.0,0.0,0.0,0.0,1606,22
22,17463.0,701.0,309.0,87.0,104.0,0.0,35.0,1.0,0.0,0.0,0.0,2031,23
23,17116.0,900.0,392.0,106.0,135.0,0.0,50.0,1.0,0.0,0.0,0.0,2606,24
24,16678.0,1150.0,495.0,124.0,185.0,0.0,67.0,1.0,0.0,0.0,0.0,3334,25
25,16172.0,1401.0,646.0,152.0,239.0,0.0,89.0,1.0,0.0,0.0,0.0,4221,26
26,15510.0,1766.0,809.0,198.0,307.0,1.0,108.0,1.0,0.0,0.0,0.0,5334,27
27,14716.0,2192.0,981.0,247.0,421.0,2.0,139.0,2.0,0.0,0.0,0.0,6726,28
28,13774.0,2654.0,1248.0,330.0,513.0,2.0,177.0,2.0,0.0,0.0,0.0,8399,29
29,12706.0,3164.0,1540.0,414.0,651.0,3.0,219.0,3.0,0.0,0.0,0.0,10336,30
30,11488.0,3739.0,1886.0,510.0,775.0,5.0,293.0,4.0,0.0,0.0,0.0,12572,31
