,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18692.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
1,18688.0,7.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13,2
2,18680.0,14.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22,3
3,18669.0,21.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38,4
4,18650.0,35.0,8.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,66,5
5,18633.0,42.0,14.0,3.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,99,6
6,18595.0,66.0,23.0,5.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,157,7
7,18546.0,102.0,32.0,7.0,10.0,0.0,3.0,0.0,0.0,0.0,0.0,223,8
8,18473.0,149.0,51.0,8.0,14.0,0.0,5.0,0.0,0.0,0.0,0.0,331,9
9,18388.0,208.0,64.0,14.0,19.0,0.0,7.0,0.0,0.0,0.0,0.0,457,10
10,18256.0,291.0,96.0,20.0,27.0,0.0,10.0,0.0,0.0,0.0,0.0,658,11
11,18038.0,445.0,134.0,28.0,40.0,0.0,15.0,0.0,0.0,0.0,0.0,971,12
12,17746.0,640.0,199.0,36.0,58.0,1.0,20.0,0.0,0.0,0.0,0.0,1398,13
13,17314.0,926.0,293.0,54.0,85.0,1.0,27.0,0.0,0.0,0.0,0.0,2035,14
14,16680.0,1346.0,417.0,88.0,130.0,1.0,38.0,0.0,0.0,0.0,0.0,2984,15
15,15853.0,1874.0,617.0,125.0,178.0,1.0,52.0,0.0,0.0,0.0,0.0,4223,16
16,14737.0,2589.0,871.0,165.0,265.0,2.0,71.0,0.0,0.0,0.0,0.0,5907,17
17,13257.0,3474.0,1234.0,259.0,380.0,2.0,94.0,0.0,0.0,0.0,0.0,8238,18
18,11339.0,4590.0,1754.0,351.0,533.0,4.0,127.0,2.0,0.0,0.0,0.0,11279,19
19,9137.0,5760.0,2396.0,495.0,723.0,3.0,181.0,5.0,0.0,0.0,0.0,14962,20
