,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18697.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2,1
1,18697.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3,2
2,18697.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4,3
3,18697.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,5,4
4,18696.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6,5
5,18696.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,7,6
6,18695.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,8,7
7,18694.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,9,8
8,18693.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,10,9
9,18693.0,3.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,11,10
10,18693.0,2.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,12,11
11,18692.0,3.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,13,12
12,18691.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,14,13
13,18690.0,5.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,15,14
14,18690.0,4.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,16,15
15,18689.0,5.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,17,16
16,18688.0,6.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,18,17
17,18688.0,6.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,19,18
18,18688.0,5.0,2.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,20,19
19,18688.0,4.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,21,20
20,18686.0,6.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,23,21
21,18684.0,6.0,4.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,28,22
22,18677.0,12.0,5.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,36,23
23,18671.0,16.0,6.0,1.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,45,24
24,18669.0,16.0,7.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,50,25
25,18664.0,18.0,10.0,2.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,58,26
26,18657.0,22.0,11.0,4.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,70,27
27,18646.0,26.0,15.0,5.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,91,28
28,18639.0,29.0,18.0,6.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0,103,29
29,18629.0,33.0,21.0,8.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,122,30
30,18622.0,31.0,26.0,9.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0,142,31
31,18601.0,43.0,30.0,9.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,180,32
32,18579.0,56.0,32.0,11.0,15.0,0.0,7.0,0.0,0.0,0.0,0.0,220,33
33,18551.0,70.0,33.0,18.0,20.0,0.0,8.0,0.0,0.0,0.0,0.0,276,34
34,18522.0,87.0,38.0,20.0,23.0,0.0,10.0,0.0,0.0,0.0,0.0,326,35
35,18482.0,112.0,44.0,22.0,27.0,0.0,13.0,0.0,0.0,0.0,0.0,393,36
36,18435.0,133.0,61.0,24.0,31.0,0.0,16.0,0.0,0.0,0.0,0.0,478,37
37,18382.0,161.0,65.0,32.0,41.0,0.0,19.0,0.0,0.0,0.0,0.0,580,38
38,18324.0,193.0,75.0,40.0,45.0,0.0,23.0,0.0,0.0,0.0,0.0,684,39
39,18254.0,216.0,106.0,46.0,51.0,0.0,27.0,0.0,0.0,0.0,0.0,821,40
40,18167.0,259.0,127.0,58.0,60.0,0.0,29.0,0.0,0.0,0.0,0.0,977,41
41,18061.0,303.0,165.0,65.0,73.0,0.0,33.0,0.0,0.0,0.0,0.0,1173,42
42,17935.0,375.0,177.0,85.0,91.0,0.0,37.0,0.0,0.0,0.0,0.0,1399,43
43,17782.0,452.0,213.0,99.0,108.0,0.0,46.0,0.0,0.0,0.0,0.0,1677,44
44,17628.0,512.0,265.0,109.0,124.0,1.0,61.0,0.0,0.0,0.0,0.0,1983,45
45,17444.0,585.0,323.0,126.0,153.0,2.0,67.0,0.0,0.0,0.0,0.0,2338,46
46,17209.0,704.0,378.0,142.0,181.0,1.0,84.0,1.0,0.0,0.0,0.0,2768,47
47,16916.0,841.0,459.0,160.0,219.0,1.0,101.0,3.0,0.0,0.0,0.0,3313,48
48,16632.0,977.0,495.0,197.0,268.0,1.0,127.0,3.0,0.0,0.0,0.0,3883,49
49,16308.0,1085.0,613.0,232.0,299.0,3.0,157.0,3.0,0.0,0.0,0.0,4553,50
50,15899.0,1263.0,691.0,276.0,373.0,3.0,190.0,5.0,0.0,0.0,0.0,5383,51
51,15458.0,1448.0,804.0,316.0,444.0,3.0,221.0,6.0,0.0,0.0,0.0,6256,52
52,14929.0,1665.0,945.0,371.0,506.0,2.0,274.0,8.0,0.0,0.0,0.0,7324,53
53,14348.0,1911.0,1069.0,424.0,613.0,5.0,322.0,8.0,0.0,0.0,0.0,8502,54
54,13632.0,2229.0,1249.0,483.0,716.0,3.0,378.0,10.0,0.0,0.0,0.0,9892,55
55,12935.0,2471.0,1435.0,553.0,841.0,3.0,450.0,12.0,0.0,0.0,0.0,11389,56
56,12129.0,2727.0,1673.0,638.0,994.0,2.0,522.0,15.0,0.0,0.0,0.0,13134,57
57,11301.0,3001.0,1872.0,747.0,1138.0,4.0,618.0,19.0,0.0,0.0,0.0,14977,58
58,10447.0,3242.0,2105.0,834.0,1297.0,6.0,748.0,21.0,0.0,0.0,0.0,16960,59
59,9538.0,3469.0,2331.0,943.0,1507.0,11.0,878.0,23.0,0.0,0.0,0.0,19146,60
60,8610.0,3718.0,2530.0,1077.0,1724.0,10.0,1003.0,28.0,0.0,0.0,0.0,21367,61
61,7703.0,3900.0,2751.0,1212.0,1923.0,15.0,1165.0,31.0,0.0,0.0,0.0,23676,62
62,6739.0,4070.0,2982.0,1359.0,2161.0,15.0,1338.0,36.0,0.0,0.0,0.0,26180,63
63,5871.0,4099.0,3199.0,1512.0,2416.0,17.0,1541.0,45.0,0.0,0.0,0.0,28732,64
64,5028.0,4135.0,3342.0,1679.0,2680.0,20.0,1766.0,50.0,0.0,0.0,0.0,31285,65
65,4240.0,4088.0,3524.0,1855.0,2895.0,21.0,2020.0,57.0,0.0,0.0,0.0,33831,66
66,3568.0,3972.0,3595.0,2039.0,3137.0,21.0,2299.0,69.0,0.0,0.0,0.0,36312,67
67,2964.0,3754.0,3651.0,2240.0,3418.0,35.0,2568.0,70.0,0.0,0.0,0.0,38789,68
68,2456.0,3529.0,3663.0,2391.0,3674.0,37.0,2868.0,82.0,0.0,0.0,0.0,41078,69
69,2005.0,3337.0,3610.0,2533.0,3896.0,35.0,3189.0,95.0,0.0,0.0,0.0,43214,70
70,1602.0,3118.0,3515.0,2635.0,4126.0,47.0,3553.0,104.0,0.0,0.0,0.0,45351,71
71,1308.0,2819.0,3445.0,2720.0,4319.0,46.0,3929.0,114.0,0.0,0.0,0.0,47297,72
72,1064.0,2536.0,3287.0,2861.0,4482.0,38.0,4297.0,135.0,0.0,0.0,0.0,49155,73
73,847.0,2303.0,3140.0,2938.0,4586.0,34.0,4702.0,150.0,0.0,0.0,0.0,50850,74
74,673.0,2025.0,3011.0,3000.0,4675.0,45.0,5111.0,160.0,0.0,0.0,0.0,52497,75
75,546.0,1788.0,2831.0,3011.0,4748.0,43.0,5549.0,184.0,0.0,0.0,0.0,54017,76
76,423.0,1578.0,2631.0,3052.0,4813.0,44.0,5959.0,200.0,0.0,0.0,0.0,55451,77
77,356.0,1370.0,2379.0,3072.0,4827.0,48.0,6438.0,210.0,0.0,0.0,0.0,56824,78
78,297.0,1173.0,2194.0,3074.0,4832.0,46.0,6858.0,226.0,0.0,0.0,0.0,58030,79
79,249.0,998.0,2015.0,3054.0,4805.0,47.0,7293.0,239.0,0.0,0.0,0.0,59165,80
80,194.0,870.0,1847.0,3004.0,4760.0,45.0,7725.0,255.0,0.0,0.0,0.0,60219,81
81,169.0,747.0,1664.0,2953.0,4689.0,44.0,8160.0,274.0,0.0,0.0,0.0,61195,82
82,138.0,649.0,1507.0,2880.0,4565.0,40.0,8630.0,291.0,0.0,0.0,0.0,62141,83
83,116.0,555.0,1331.0,2814.0,4473.0,49.0,9055.0,307.0,0.0,0.0,0.0,63038,84
84,99.0,481.0,1171.0,2740.0,4363.0,53.0,9474.0,319.0,0.0,0.0,0.0,63845,85
85,86.0,401.0,1032.0,2659.0,4234.0,52.0,9901.0,335.0,0.0,0.0,0.0,64642,86
86,71.0,343.0,900.0,2604.0,4100.0,46.0,10286.0,350.0,0.0,0.0,0.0,65346,87
87,57.0,286.0,798.0,2525.0,3958.0,50.0,10665.0,361.0,0.0,0.0,0.0,66011,88
88,53.0,246.0,699.0,2441.0,3800.0,51.0,11035.0,375.0,0.0,0.0,0.0,66601,89
89,45.0,211.0,620.0,2371.0,3656.0,48.0,11362.0,387.0,0.0,0.0,0.0,67122,90
90,42.0,172.0,542.0,2271.0,3543.0,49.0,11680.0,401.0,0.0,0.0,0.0,67634,91
91,33.0,159.0,456.0,2160.0,3405.0,40.0,12030.0,417.0,0.0,0.0,0.0,68148,92
92,33.0,137.0,385.0,2076.0,3272.0,41.0,12328.0,428.0,0.0,0.0,0.0,68584,93
93,29.0,112.0,348.0,1993.0,3117.0,39.0,12624.0,438.0,0.0,0.0,0.0,68997,94
94,24.0,100.0,298.0,1904.0,2994.0,36.0,12897.0,447.0,0.0,0.0,0.0,69374,95
95,22.0,85.0,262.0,1820.0,2865.0,30.0,13159.0,457.0,0.0,0.0,0.0,69723,96
96,21.0,70.0,234.0,1741.0,2732.0,27.0,13406.0,469.0,0.0,0.0,0.0,70052,97
97,20.0,68.0,196.0,1658.0,2642.0,22.0,13613.0,481.0,0.0,0.0,0.0,70323,98
98,19.0,58.0,165.0,1585.0,2515.0,24.0,13848.0,486.0,0.0,0.0,0.0,70624,99
99,18.0,46.0,152.0,1509.0,2408.0,34.0,14038.0,495.0,0.0,0.0,0.0,70882,100
100,18.0,35.0,139.0,1408.0,2290.0,34.0,14272.0,504.0,0.0,0.0,0.0,71170,101
101,16.0,31.0,129.0,1336.0,2166.0,29.0,14478.0,515.0,0.0,0.0,0.0,71418,102
102,14.0,27.0,112.0,1266.0,2098.0,35.0,14624.0,524.0,0.0,0.0,0.0,71619,103
103,14.0,21.0,95.0,1215.0,1985.0,29.0,14808.0,533.0,0.0,0.0,0.0,71845,104
104,14.0,16.0,83.0,1158.0,1887.0,23.0,14976.0,543.0,0.0,0.0,0.0,72049,105
105,14.0,12.0,70.0,1099.0,1791.0,23.0,15144.0,547.0,0.0,0.0,0.0,72247,106
