,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,T_index,Time
0,18695.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3,1
1,18694.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,5,2
2,18693.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,6,3
3,18692.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,7,4
4,18691.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,8,5
5,18691.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,9,6
6,18690.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,10,7
7,18689.0,5.0,3.0,2.0,0.0,0.0,1.0,0.0,15,8
8,18687.0,6.0,4.0,2.0,0.0,0.0,1.0,0.0,18,9
9,18681.0,11.0,4.0,3.0,0.0,0.0,1.0,0.0,26,10
10,18680.0,11.0,5.0,3.0,0.0,0.0,1.0,0.0,28,11
11,18678.0,10.0,8.0,3.0,0.0,0.0,1.0,0.0,33,12
12,18663.0,20.0,12.0,3.0,1.0,0.0,1.0,0.0,54,13
13,18654.0,24.0,15.0,3.0,3.0,0.0,1.0,0.0,70,14
14,18645.0,29.0,16.0,4.0,4.0,0.0,2.0,0.0,87,15
15,18633.0,37.0,17.0,4.0,6.0,0.0,3.0,0.0,107,16
16,18615.0,42.0,28.0,5.0,6.0,0.0,4.0,0.0,141,17
17,18592.0,57.0,30.0,9.0,7.0,0.0,5.0,0.0,179,18
18,18567.0,70.0,36.0,12.0,10.0,0.0,5.0,0.0,222,19
19,18526.0,96.0,44.0,15.0,14.0,0.0,5.0,0.0,285,20
