,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,T_index,Time
0,18696.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2,1
1,18695.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,3,2
2,18694.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,4,3
3,18693.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,5,4
4,18685.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,16,5
5,18685.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,18,6
6,18683.0,10.0,3.0,3.0,1.0,0.0,0.0,0.0,22,7
7,18675.0,14.0,4.0,4.0,3.0,0.0,0.0,0.0,37,8
8,18670.0,17.0,5.0,5.0,3.0,0.0,0.0,0.0,45,9
9,18666.0,17.0,5.0,5.0,6.0,0.0,1.0,0.0,58,10
10,18653.0,25.0,7.0,5.0,9.0,0.0,1.0,0.0,79,11
11,18637.0,32.0,13.0,5.0,11.0,0.0,2.0,0.0,108,12
12,18611.0,44.0,23.0,6.0,12.0,0.0,4.0,0.0,154,13
13,18587.0,53.0,30.0,11.0,15.0,0.0,4.0,0.0,201,14
14,18547.0,84.0,35.0,12.0,17.0,0.0,5.0,0.0,255,15
15,18501.0,110.0,49.0,12.0,22.0,0.0,6.0,0.0,328,16
16,18452.0,132.0,70.0,13.0,26.0,0.0,7.0,0.0,411,17
17,18396.0,156.0,87.0,14.0,37.0,0.0,10.0,0.0,517,18
18,18318.0,201.0,104.0,20.0,45.0,0.0,12.0,0.0,646,19
19,18206.0,262.0,138.0,27.0,52.0,0.0,15.0,0.0,829,20
