,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18695.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
1,18693.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2
2,18686.0,10.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,15,3
3,18677.0,17.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,26,4
4,18668.0,20.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,42,5
5,18649.0,29.0,16.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,74,6
6,18616.0,53.0,23.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,120,7
7,18563.0,93.0,32.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,190,8
8,18501.0,133.0,45.0,6.0,11.0,0.0,4.0,0.0,0.0,0.0,0.0,284,9
9,18420.0,183.0,62.0,13.0,18.0,0.0,4.0,0.0,0.0,0.0,0.0,410,10
10,18282.0,276.0,95.0,17.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,606,11
11,18078.0,401.0,155.0,27.0,32.0,0.0,7.0,0.0,0.0,0.0,0.0,910,12
12,17761.0,614.0,229.0,36.0,47.0,0.0,13.0,0.0,0.0,0.0,0.0,1367,13
13,17346.0,877.0,322.0,60.0,77.0,0.0,18.0,0.0,0.0,0.0,0.0,1998,14
14,16722.0,1308.0,450.0,87.0,104.0,3.0,26.0,0.0,0.0,0.0,0.0,2891,15
15,15843.0,1834.0,683.0,137.0,162.0,2.0,38.0,1.0,0.0,0.0,0.0,4256,16
16,14646.0,2569.0,984.0,186.0,260.0,2.0,50.0,3.0,0.0,0.0,0.0,6092,17
17,13033.0,3558.0,1384.0,246.0,381.0,3.0,91.0,4.0,0.0,0.0,0.0,8597,18
18,11067.0,4685.0,1920.0,348.0,544.0,4.0,127.0,5.0,0.0,0.0,0.0,11744,19
19,8860.0,5888.0,2491.0,491.0,778.0,6.0,181.0,5.0,0.0,0.0,0.0,15444,20
20,6605.0,6897.0,3214.0,683.0,1025.0,8.0,261.0,7.0,0.0,0.0,0.0,19554,21
21,4546.0,7558.0,3913.0,904.0,1381.0,8.0,378.0,12.0,0.0,0.0,0.0,23837,22
22,2806.0,7778.0,4620.0,1189.0,1772.0,10.0,511.0,14.0,0.0,0.0,0.0,28049,23
23,1567.0,7548.0,5065.0,1508.0,2269.0,14.0,713.0,16.0,0.0,0.0,0.0,31991,24
24,853.0,6829.0,5475.0,1815.0,2729.0,17.0,959.0,23.0,0.0,0.0,0.0,35424,25
25,421.0,6009.0,5699.0,2113.0,3177.0,25.0,1223.0,33.0,0.0,0.0,0.0,38428,26
26,202.0,5151.0,5659.0,2367.0,3677.0,30.0,1571.0,43.0,0.0,0.0,0.0,41215,27
27,89.0,4386.0,5466.0,2678.0,4094.0,27.0,1907.0,53.0,0.0,0.0,0.0,43630,28
28,41.0,3646.0,5134.0,2945.0,4567.0,38.0,2266.0,63.0,0.0,0.0,0.0,45976,29
29,17.0,2976.0,4880.0,3119.0,4879.0,37.0,2712.0,80.0,0.0,0.0,0.0,48122,30
30,5.0,2469.0,4454.0,3344.0,5141.0,46.0,3146.0,95.0,0.0,0.0,0.0,50071,31
31,3.0,2031.0,4066.0,3505.0,5294.0,45.0,3647.0,109.0,0.0,0.0,0.0,51869,32
32,1.0,1691.0,3680.0,3553.0,5457.0,51.0,4142.0,125.0,0.0,0.0,0.0,53474,33
33,1.0,1367.0,3343.0,3612.0,5550.0,49.0,4637.0,141.0,0.0,0.0,0.0,54984,34
34,0.0,1121.0,2992.0,3618.0,5561.0,50.0,5197.0,161.0,0.0,0.0,0.0,56432,35
35,0.0,929.0,2671.0,3610.0,5544.0,55.0,5719.0,172.0,0.0,0.0,0.0,57686,36
36,0.0,776.0,2326.0,3600.0,5536.0,60.0,6214.0,188.0,0.0,0.0,0.0,58869,37
37,0.0,619.0,2091.0,3570.0,5457.0,58.0,6701.0,204.0,0.0,0.0,0.0,59937,38
38,0.0,504.0,1795.0,3549.0,5396.0,52.0,7182.0,222.0,0.0,0.0,0.0,60974,39
39,0.0,402.0,1560.0,3478.0,5278.0,58.0,7688.0,236.0,0.0,0.0,0.0,61953,40
40,0.0,332.0,1339.0,3398.0,5158.0,58.0,8161.0,254.0,0.0,0.0,0.0,62824,41
41,0.0,267.0,1175.0,3280.0,5002.0,55.0,8651.0,270.0,0.0,0.0,0.0,63637,42
42,0.0,227.0,997.0,3175.0,4860.0,61.0,9094.0,286.0,0.0,0.0,0.0,64376,43
43,0.0,187.0,843.0,3087.0,4705.0,60.0,9518.0,300.0,0.0,0.0,0.0,65062,44
44,0.0,155.0,736.0,2948.0,4512.0,60.0,9972.0,317.0,0.0,0.0,0.0,65723,45
45,0.0,134.0,639.0,2833.0,4337.0,52.0,10372.0,333.0,0.0,0.0,0.0,66289,46
46,0.0,110.0,535.0,2704.0,4183.0,48.0,10773.0,347.0,0.0,0.0,0.0,66866,47
47,0.0,95.0,468.0,2592.0,3989.0,47.0,11150.0,359.0,0.0,0.0,0.0,67363,48
48,0.0,81.0,409.0,2478.0,3808.0,43.0,11508.0,373.0,0.0,0.0,0.0,67832,49
49,0.0,62.0,351.0,2344.0,3659.0,45.0,11853.0,386.0,0.0,0.0,0.0,68301,50
50,0.0,50.0,299.0,2230.0,3499.0,50.0,12174.0,398.0,0.0,0.0,0.0,68727,51
51,0.0,39.0,258.0,2121.0,3343.0,46.0,12481.0,412.0,0.0,0.0,0.0,69121,52
52,0.0,32.0,220.0,2025.0,3211.0,36.0,12748.0,428.0,0.0,0.0,0.0,69463,53
53,0.0,26.0,184.0,1922.0,3078.0,39.0,13017.0,434.0,0.0,0.0,0.0,69795,54
54,0.0,24.0,158.0,1829.0,2923.0,35.0,13283.0,448.0,0.0,0.0,0.0,70115,55
55,0.0,16.0,139.0,1736.0,2786.0,30.0,13534.0,459.0,0.0,0.0,0.0,70418,56
56,0.0,13.0,108.0,1641.0,2656.0,33.0,13783.0,466.0,0.0,0.0,0.0,70722,57
57,0.0,11.0,93.0,1560.0,2532.0,28.0,14002.0,474.0,0.0,0.0,0.0,70971,58
58,0.0,8.0,79.0,1471.0,2395.0,29.0,14235.0,483.0,0.0,0.0,0.0,71243,59
59,0.0,7.0,64.0,1393.0,2293.0,30.0,14420.0,493.0,0.0,0.0,0.0,71467,60
60,0.0,4.0,48.0,1306.0,2210.0,26.0,14605.0,501.0,0.0,0.0,0.0,71686,61
61,0.0,3.0,42.0,1236.0,2083.0,20.0,14804.0,512.0,0.0,0.0,0.0,71909,62
62,0.0,2.0,38.0,1165.0,1981.0,20.0,14977.0,517.0,0.0,0.0,0.0,72098,63
63,0.0,2.0,30.0,1110.0,1898.0,14.0,15123.0,523.0,0.0,0.0,0.0,72258,64
64,0.0,1.0,22.0,1024.0,1804.0,17.0,15307.0,525.0,0.0,0.0,0.0,72460,65
65,0.0,1.0,18.0,961.0,1700.0,18.0,15472.0,530.0,0.0,0.0,0.0,72640,66
66,0.0,1.0,14.0,890.0,1623.0,19.0,15615.0,538.0,0.0,0.0,0.0,72804,67
67,0.0,0.0,10.0,840.0,1542.0,15.0,15748.0,545.0,0.0,0.0,0.0,72953,68
68,0.0,0.0,8.0,811.0,1454.0,15.0,15864.0,548.0,0.0,0.0,0.0,73077,69
69,0.0,0.0,7.0,757.0,1382.0,11.0,15989.0,554.0,0.0,0.0,0.0,73211,70
70,0.0,0.0,7.0,718.0,1316.0,8.0,16092.0,559.0,0.0,0.0,0.0,73321,71
71,0.0,0.0,7.0,673.0,1249.0,7.0,16203.0,561.0,0.0,0.0,0.0,73435,72
72,0.0,0.0,6.0,631.0,1175.0,10.0,16316.0,562.0,0.0,0.0,0.0,73555,73
73,0.0,0.0,5.0,599.0,1131.0,9.0,16390.0,566.0,0.0,0.0,0.0,73637,74
74,0.0,0.0,5.0,567.0,1076.0,11.0,16473.0,568.0,0.0,0.0,0.0,73726,75
75,0.0,0.0,3.0,527.0,1005.0,11.0,16584.0,570.0,0.0,0.0,0.0,73843,76
76,0.0,0.0,2.0,503.0,952.0,10.0,16661.0,572.0,0.0,0.0,0.0,73924,77
77,0.0,0.0,2.0,485.0,901.0,9.0,16729.0,574.0,0.0,0.0,0.0,73995,78
78,0.0,0.0,1.0,453.0,858.0,8.0,16804.0,576.0,0.0,0.0,0.0,74075,79
