,Unnamed: 0,age,sex,death_rate,prob_symptomatic,prob_hospitalisation
15692,15692,17.0,1,0.0014507703680097168,0.31460056585328,0.006960091349437974
14382,14382,14.0,0,0.0017709144250552308,0.31565933359664,0.004754498960707156
16109,16109,0.0,1,2.3564863634245685e-05,0.41731169,0.00011283414456224223
7753,7753,30.1,1,0.005620842715376859,0.3724208864450256,0.027119602446363533
4134,4134,3.6,0,0.0002807289095220999,0.3741205883987034,0.0007523375370082097
10663,10663,31.0,1,0.006091503891671124,0.37933892107496003,0.029409360376090318
2922,2922,35.7,0,0.01613617933519556,0.41981625558731717,0.0440874898108428
17499,17499,17.0,0,0.002589867971909223,0.31460056585328,0.006960091349437974
11907,11907,31.0,0,0.010834136055014966,0.37933892107496003,0.029409360376090318
5980,5980,43.6,1,0.01676204214672809,0.4993797800216152,0.08212317337616365
16471,16471,4.0,1,0.0001740668699060823,0.37010891403584006,0.0008336433721767212
13752,13752,67.0,0,0.12129333439344729,0.7232601060792798,0.38063755219997575
15962,15962,11.0,1,0.0006487601468183383,0.32330696203736004,0.0031090508542673894
1018,1018,0.5,1,4.778981294845654e-05,0.410530316646695,0.0002288364468730615
13804,13804,29.0,1,0.005085738656789406,0.36438310330783996,0.024519903245491168
17156,17156,2.0,1,9.691320071365571e-05,0.39171851081648,0.0004640894660794942
17883,17883,21.0,1,0.0022928215602465367,0.32241232562816,0.011012432762170822
10219,10219,34.6,0,0.01474083817420857,0.409753671112828,0.04020610762293279
6922,6922,20.8,0,0.004002391528152781,0.3217903218264627,0.01077456581215602
17562,17562,38.0,0,0.01939601734632233,0.44181909728432,0.05320742742633571
15812,15812,1.0,1,6.405047504719707e-05,0.40400616094256003,0.0003067056591384208
17845,17845,2.0,0,0.0001731938495817274,0.39171851081648,0.0004640894660794942
13736,13736,34.0,1,0.007894963376278095,0.40440553199024,0.03821048394344429
11305,11305,1.2,1,7.046407757489714e-05,0.4014679040694157,0.0003374201231709521
14819,14819,4.0,0,0.0003110561676731234,0.37010891403584006,0.0008336433721767212
9803,9803,26.1,0,0.006891324099036026,0.34560269102456637,0.0186168515981518
1085,1085,18.7,1,0.0017729723074056587,0.31669990611087667,0.008509581935779583
6931,6931,42.7,0,0.027691902709414334,0.4898560795651134,0.0767512197907984
