,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18694.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
1,18693.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,2
2,18691.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3
3,18688.0,9.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4
4,18683.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,5
5,18681.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6
6,18677.0,17.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28,7
7,18661.0,25.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,8
8,18643.0,37.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77,9
9,18615.0,53.0,24.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,122,10
10,18563.0,90.0,34.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,194,11
11,18500.0,132.0,45.0,8.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,289,12
12,18406.0,192.0,62.0,15.0,23.0,0.0,2.0,0.0,0.0,0.0,0.0,435,13
13,18249.0,300.0,95.0,18.0,33.0,0.0,5.0,0.0,0.0,0.0,0.0,660,14
14,17996.0,485.0,137.0,25.0,51.0,0.0,6.0,0.0,0.0,0.0,0.0,1008,15
15,17709.0,667.0,219.0,32.0,64.0,0.0,9.0,0.0,0.0,0.0,0.0,1426,16
16,17232.0,984.0,320.0,52.0,95.0,0.0,17.0,0.0,0.0,0.0,0.0,2130,17
17,16564.0,1412.0,484.0,75.0,130.0,0.0,34.0,1.0,0.0,0.0,0.0,3133,18
18,15611.0,2028.0,705.0,115.0,195.0,0.0,45.0,1.0,0.0,0.0,0.0,4550,19
19,14325.0,2852.0,1013.0,172.0,278.0,0.0,59.0,1.0,0.0,0.0,0.0,6466,20
20,12716.0,3815.0,1430.0,261.0,394.0,0.0,83.0,1.0,0.0,0.0,0.0,8974,21
21,10771.0,4866.0,2015.0,370.0,550.0,2.0,125.0,1.0,0.0,0.0,0.0,12166,22
22,8505.0,6063.0,2638.0,534.0,769.0,2.0,186.0,3.0,0.0,0.0,0.0,16013,23
23,6254.0,6990.0,3344.0,751.0,1086.0,5.0,267.0,3.0,0.0,0.0,0.0,20290,24
24,4273.0,7542.0,4022.0,983.0,1481.0,7.0,386.0,6.0,0.0,0.0,0.0,24578,25
25,2605.0,7680.0,4713.0,1266.0,1897.0,5.0,521.0,13.0,0.0,0.0,0.0,28762,26
26,1464.0,7284.0,5273.0,1596.0,2358.0,11.0,700.0,14.0,0.0,0.0,0.0,32604,27
27,744.0,6608.0,5597.0,1957.0,2843.0,15.0,918.0,18.0,0.0,0.0,0.0,36022,28
28,362.0,5708.0,5753.0,2307.0,3321.0,24.0,1205.0,20.0,0.0,0.0,0.0,39112,29
29,164.0,4842.0,5716.0,2591.0,3778.0,27.0,1549.0,33.0,0.0,0.0,0.0,41848,30
30,73.0,4068.0,5470.0,2865.0,4198.0,28.0,1953.0,45.0,0.0,0.0,0.0,44345,31
31,33.0,3372.0,5156.0,3095.0,4613.0,36.0,2337.0,58.0,0.0,0.0,0.0,46589,32
32,14.0,2771.0,4824.0,3324.0,4905.0,41.0,2751.0,70.0,0.0,0.0,0.0,48623,33
33,6.0,2307.0,4385.0,3499.0,5173.0,38.0,3203.0,89.0,0.0,0.0,0.0,50501,34
34,3.0,1889.0,4035.0,3584.0,5335.0,38.0,3711.0,105.0,0.0,0.0,0.0,52237,35
35,0.0,1573.0,3612.0,3677.0,5511.0,37.0,4169.0,121.0,0.0,0.0,0.0,53791,36
36,0.0,1282.0,3279.0,3717.0,5565.0,47.0,4675.0,135.0,0.0,0.0,0.0,55250,37
