,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18696.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18695.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2
2,18694.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6,3
3,18694.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,7,4
4,18693.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8,5
5,18692.0,6.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,10,6
6,18692.0,5.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,11,7
7,18688.0,9.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15,8
8,18685.0,11.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,19,9
9,18678.0,14.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,30,10
10,18671.0,18.0,8.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,41,11
11,18654.0,31.0,11.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,63,12
12,18637.0,40.0,18.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,90,13
13,18604.0,68.0,20.0,3.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,131,14
14,18557.0,100.0,31.0,5.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,197,15
15,18503.0,127.0,50.0,7.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,288,16
16,18405.0,193.0,64.0,11.0,20.0,0.0,6.0,1.0,0.0,0.0,0.0,440,17
17,18250.0,305.0,86.0,16.0,35.0,0.0,7.0,1.0,0.0,0.0,0.0,660,18
18,18034.0,449.0,137.0,22.0,49.0,0.0,8.0,1.0,0.0,0.0,0.0,970,19
19,17731.0,641.0,226.0,32.0,58.0,0.0,11.0,1.0,0.0,0.0,0.0,1409,20
20,17277.0,941.0,326.0,47.0,93.0,0.0,15.0,1.0,0.0,0.0,0.0,2075,21
21,16655.0,1356.0,447.0,90.0,126.0,1.0,24.0,1.0,0.0,0.0,0.0,3000,22
22,15791.0,1917.0,647.0,127.0,174.0,3.0,39.0,2.0,0.0,0.0,0.0,4289,23
23,14640.0,2636.0,927.0,179.0,249.0,1.0,65.0,3.0,0.0,0.0,0.0,6051,24
24,13099.0,3581.0,1298.0,273.0,355.0,1.0,90.0,3.0,0.0,0.0,0.0,8438,25
25,11254.0,4603.0,1796.0,386.0,528.0,1.0,128.0,4.0,0.0,0.0,0.0,11471,26
26,9086.0,5815.0,2367.0,515.0,724.0,1.0,187.0,5.0,0.0,0.0,0.0,15041,27
27,6796.0,6883.0,3011.0,714.0,1017.0,4.0,270.0,5.0,0.0,0.0,0.0,19217,28
28,4746.0,7496.0,3771.0,949.0,1359.0,7.0,367.0,5.0,0.0,0.0,0.0,23481,29
29,2990.0,7803.0,4387.0,1231.0,1743.0,8.0,529.0,9.0,0.0,0.0,0.0,27690,30
30,1702.0,7606.0,4959.0,1497.0,2186.0,8.0,729.0,13.0,0.0,0.0,0.0,31584,31
31,911.0,6978.0,5352.0,1806.0,2635.0,15.0,986.0,17.0,0.0,0.0,0.0,35092,32
32,438.0,6150.0,5509.0,2155.0,3172.0,17.0,1238.0,21.0,0.0,0.0,0.0,38272,33
33,203.0,5324.0,5467.0,2478.0,3633.0,22.0,1546.0,27.0,0.0,0.0,0.0,40996,34
34,85.0,4508.0,5314.0,2802.0,4056.0,24.0,1877.0,34.0,0.0,0.0,0.0,43483,35
35,49.0,3748.0,5110.0,3038.0,4430.0,28.0,2250.0,47.0,0.0,0.0,0.0,45718,36
36,16.0,3099.0,4837.0,3220.0,4752.0,41.0,2680.0,55.0,0.0,0.0,0.0,47847,37
37,7.0,2540.0,4525.0,3380.0,5027.0,39.0,3109.0,73.0,0.0,0.0,0.0,49767,38
38,3.0,2094.0,4097.0,3540.0,5293.0,38.0,3548.0,87.0,0.0,0.0,0.0,51566,39
39,3.0,1734.0,3678.0,3626.0,5461.0,40.0,4063.0,95.0,0.0,0.0,0.0,53241,40
40,0.0,1419.0,3318.0,3683.0,5569.0,50.0,4551.0,110.0,0.0,0.0,0.0,54768,41
41,0.0,1166.0,2968.0,3703.0,5637.0,58.0,5042.0,126.0,0.0,0.0,0.0,56155,42
42,0.0,958.0,2671.0,3711.0,5643.0,54.0,5520.0,143.0,0.0,0.0,0.0,57378,43
43,0.0,769.0,2374.0,3676.0,5636.0,62.0,6019.0,164.0,0.0,0.0,0.0,58602,44
44,0.0,608.0,2128.0,3640.0,5574.0,60.0,6513.0,177.0,0.0,0.0,0.0,59690,45
45,0.0,491.0,1861.0,3587.0,5513.0,66.0,6995.0,187.0,0.0,0.0,0.0,60700,46
