,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18697.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18696.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,2
2,18694.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3
3,18691.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11,4
4,18690.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,12,5
5,18684.0,13.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,19,6
6,18682.0,12.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25,7
7,18675.0,17.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,34,8
8,18666.0,19.0,10.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,53,9
9,18650.0,33.0,9.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,75,10
10,18629.0,45.0,18.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,105,11
11,18587.0,77.0,25.0,4.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,160,12
12,18530.0,111.0,40.0,7.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,250,13
13,18429.0,179.0,58.0,14.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,401,14
14,18291.0,264.0,93.0,22.0,22.0,0.0,8.0,0.0,0.0,0.0,0.0,611,15
15,18088.0,402.0,131.0,31.0,39.0,0.0,9.0,0.0,0.0,0.0,0.0,907,16
16,17802.0,598.0,187.0,40.0,57.0,1.0,15.0,0.0,0.0,0.0,0.0,1324,17
17,17360.0,895.0,300.0,51.0,68.0,0.0,25.0,1.0,0.0,0.0,0.0,1954,18
18,16781.0,1288.0,398.0,75.0,121.0,1.0,35.0,1.0,0.0,0.0,0.0,2818,19
19,15954.0,1822.0,587.0,110.0,179.0,1.0,46.0,1.0,0.0,0.0,0.0,4053,20
20,14832.0,2510.0,870.0,165.0,256.0,2.0,63.0,2.0,0.0,0.0,0.0,5780,21
21,13309.0,3470.0,1228.0,234.0,366.0,1.0,88.0,4.0,0.0,0.0,0.0,8099,22
22,11432.0,4533.0,1726.0,341.0,544.0,5.0,115.0,4.0,0.0,0.0,0.0,11137,23
23,9245.0,5685.0,2367.0,476.0,739.0,6.0,177.0,5.0,0.0,0.0,0.0,14818,24
24,6938.0,6745.0,3068.0,664.0,1033.0,6.0,239.0,7.0,0.0,0.0,0.0,18984,25
25,4788.0,7495.0,3826.0,890.0,1333.0,10.0,348.0,10.0,0.0,0.0,0.0,23295,26
26,3029.0,7736.0,4573.0,1122.0,1750.0,11.0,468.0,11.0,0.0,0.0,0.0,27467,27
27,1756.0,7419.0,5194.0,1459.0,2180.0,17.0,660.0,15.0,0.0,0.0,0.0,31505,28
28,902.0,6816.0,5596.0,1793.0,2680.0,15.0,877.0,21.0,0.0,0.0,0.0,35098,29
29,466.0,6001.0,5699.0,2119.0,3234.0,18.0,1136.0,27.0,0.0,0.0,0.0,38207,30
30,217.0,5169.0,5628.0,2447.0,3725.0,21.0,1460.0,33.0,0.0,0.0,0.0,41029,31
31,84.0,4369.0,5502.0,2700.0,4180.0,25.0,1802.0,38.0,0.0,0.0,0.0,43511,32
32,33.0,3611.0,5221.0,3014.0,4574.0,33.0,2170.0,44.0,0.0,0.0,0.0,45849,33
33,16.0,2982.0,4866.0,3232.0,4897.0,41.0,2609.0,57.0,0.0,0.0,0.0,47987,34
34,6.0,2446.0,4558.0,3383.0,5104.0,45.0,3085.0,73.0,0.0,0.0,0.0,49910,35
35,3.0,2012.0,4143.0,3492.0,5324.0,50.0,3591.0,85.0,0.0,0.0,0.0,51737,36
36,2.0,1640.0,3693.0,3605.0,5514.0,53.0,4096.0,97.0,0.0,0.0,0.0,53467,37
37,0.0,1334.0,3286.0,3709.0,5637.0,56.0,4567.0,111.0,0.0,0.0,0.0,54996,38
38,0.0,1103.0,2912.0,3750.0,5691.0,55.0,5056.0,133.0,0.0,0.0,0.0,56365,39
39,0.0,916.0,2573.0,3745.0,5690.0,51.0,5576.0,149.0,0.0,0.0,0.0,57628,40
40,0.0,786.0,2219.0,3734.0,5672.0,60.0,6064.0,165.0,0.0,0.0,0.0,58771,41
41,0.0,651.0,1945.0,3666.0,5629.0,62.0,6562.0,185.0,0.0,0.0,0.0,59855,42
42,0.0,549.0,1701.0,3572.0,5548.0,58.0,7069.0,203.0,0.0,0.0,0.0,60844,43
43,0.0,453.0,1467.0,3503.0,5420.0,53.0,7576.0,228.0,0.0,0.0,0.0,61822,44
44,0.0,364.0,1277.0,3397.0,5295.0,52.0,8070.0,245.0,0.0,0.0,0.0,62718,45
45,0.0,302.0,1109.0,3301.0,5131.0,51.0,8547.0,259.0,0.0,0.0,0.0,63515,46
46,0.0,242.0,967.0,3171.0,4961.0,52.0,9032.0,275.0,0.0,0.0,0.0,64296,47
47,0.0,203.0,841.0,3086.0,4762.0,54.0,9467.0,287.0,0.0,0.0,0.0,64962,48
48,0.0,156.0,726.0,2999.0,4575.0,54.0,9891.0,299.0,0.0,0.0,0.0,65620,49
49,0.0,130.0,623.0,2918.0,4383.0,52.0,10279.0,315.0,0.0,0.0,0.0,66194,50
50,0.0,107.0,545.0,2811.0,4202.0,51.0,10657.0,327.0,0.0,0.0,0.0,66721,51
51,0.0,89.0,466.0,2703.0,4047.0,46.0,11005.0,344.0,0.0,0.0,0.0,67216,52
52,0.0,74.0,402.0,2595.0,3881.0,42.0,11346.0,360.0,0.0,0.0,0.0,67679,53
53,0.0,62.0,339.0,2483.0,3725.0,39.0,11676.0,376.0,0.0,0.0,0.0,68125,54
54,0.0,47.0,297.0,2379.0,3542.0,38.0,12007.0,390.0,0.0,0.0,0.0,68555,55
55,0.0,41.0,251.0,2269.0,3391.0,40.0,12303.0,405.0,0.0,0.0,0.0,68941,56
56,0.0,33.0,206.0,2151.0,3230.0,34.0,12625.0,421.0,0.0,0.0,0.0,69351,57
57,0.0,28.0,173.0,2049.0,3085.0,29.0,12902.0,434.0,0.0,0.0,0.0,69692,58
58,0.0,26.0,139.0,1955.0,2944.0,35.0,13159.0,442.0,0.0,0.0,0.0,70009,59
59,0.0,20.0,120.0,1860.0,2797.0,34.0,13412.0,457.0,0.0,0.0,0.0,70322,60
60,0.0,17.0,99.0,1759.0,2657.0,30.0,13668.0,470.0,0.0,0.0,0.0,70627,61
61,0.0,16.0,75.0,1678.0,2531.0,27.0,13893.0,480.0,0.0,0.0,0.0,70895,62
62,0.0,13.0,65.0,1592.0,2405.0,26.0,14108.0,491.0,0.0,0.0,0.0,71147,63
63,0.0,9.0,59.0,1505.0,2263.0,26.0,14338.0,500.0,0.0,0.0,0.0,71409,64
64,0.0,7.0,42.0,1428.0,2153.0,27.0,14536.0,507.0,0.0,0.0,0.0,71645,65
