,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18697.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18695.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
2,18693.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3
3,18690.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4
4,18684.0,11.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,5
5,18671.0,20.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36,6
6,18656.0,29.0,8.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,63,7
7,18640.0,40.0,13.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,85,8
8,18602.0,66.0,22.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,138,9
9,18560.0,98.0,26.0,4.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,196,10
10,18505.0,130.0,43.0,5.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,280,11
11,18402.0,201.0,63.0,9.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,430,12
12,18241.0,317.0,96.0,13.0,28.0,0.0,5.0,0.0,0.0,0.0,0.0,649,13
13,18021.0,460.0,149.0,23.0,37.0,0.0,10.0,0.0,0.0,0.0,0.0,975,14
14,17735.0,632.0,215.0,37.0,66.0,0.0,15.0,0.0,0.0,0.0,0.0,1428,15
15,17285.0,925.0,319.0,50.0,100.0,0.0,21.0,0.0,0.0,0.0,0.0,2094,16
16,16650.0,1370.0,432.0,81.0,141.0,0.0,26.0,0.0,0.0,0.0,0.0,3001,17
17,15724.0,1993.0,632.0,118.0,194.0,1.0,38.0,0.0,0.0,0.0,0.0,4346,18
18,14554.0,2702.0,930.0,179.0,274.0,2.0,59.0,0.0,0.0,0.0,0.0,6162,19
19,12941.0,3717.0,1290.0,251.0,407.0,4.0,89.0,1.0,0.0,0.0,0.0,8645,20
20,11030.0,4823.0,1794.0,366.0,548.0,3.0,133.0,3.0,0.0,0.0,0.0,11709,21
21,8852.0,5950.0,2462.0,496.0,750.0,5.0,182.0,3.0,0.0,0.0,0.0,15372,22
22,6513.0,6949.0,3222.0,695.0,1044.0,7.0,266.0,4.0,0.0,0.0,0.0,19719,23
23,4472.0,7538.0,4014.0,926.0,1352.0,12.0,381.0,5.0,0.0,0.0,0.0,23994,24
24,2779.0,7777.0,4622.0,1206.0,1773.0,9.0,523.0,11.0,0.0,0.0,0.0,28138,25
25,1594.0,7432.0,5184.0,1523.0,2231.0,12.0,710.0,14.0,0.0,0.0,0.0,32017,26
26,842.0,6775.0,5538.0,1847.0,2731.0,20.0,930.0,17.0,0.0,0.0,0.0,35467,27
27,391.0,5962.0,5752.0,2128.0,3210.0,25.0,1207.0,25.0,0.0,0.0,0.0,38530,28
28,186.0,5119.0,5685.0,2432.0,3684.0,29.0,1532.0,33.0,0.0,0.0,0.0,41243,29
29,87.0,4303.0,5468.0,2697.0,4129.0,32.0,1940.0,44.0,0.0,0.0,0.0,43822,30
30,43.0,3592.0,5166.0,2950.0,4553.0,40.0,2304.0,52.0,0.0,0.0,0.0,46066,31
31,18.0,2951.0,4875.0,3163.0,4889.0,47.0,2698.0,59.0,0.0,0.0,0.0,48130,32
