,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18698.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1
1,18697.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2
2,18696.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3
3,18696.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,4
4,18696.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,5
5,18695.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,6
6,18693.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10,7
7,18685.0,8.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,23,8
8,18680.0,12.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,29,9
9,18671.0,19.0,5.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,41,10
10,18651.0,34.0,9.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,67,11
11,18623.0,48.0,19.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,114,12
12,18581.0,82.0,23.0,5.0,7.0,0.0,2.0,0.0,0.0,0.0,0.0,169,13
13,18527.0,114.0,43.0,6.0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,247,14
14,18419.0,190.0,65.0,10.0,12.0,0.0,4.0,0.0,0.0,0.0,0.0,399,15
15,18304.0,260.0,100.0,14.0,17.0,0.0,5.0,0.0,0.0,0.0,0.0,570,16
16,18102.0,407.0,130.0,23.0,31.0,0.0,7.0,0.0,0.0,0.0,0.0,854,17
17,17837.0,580.0,180.0,34.0,59.0,1.0,9.0,0.0,0.0,0.0,0.0,1256,18
18,17416.0,855.0,294.0,37.0,80.0,0.0,17.0,1.0,0.0,0.0,0.0,1864,19
19,16836.0,1223.0,441.0,62.0,116.0,0.0,21.0,1.0,0.0,0.0,0.0,2725,20
20,16003.0,1764.0,652.0,90.0,162.0,0.0,28.0,1.0,0.0,0.0,0.0,3938,21
