,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18696.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1
1,18695.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
2,18694.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3
3,18693.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,4
4,18690.0,4.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16,5
5,18686.0,7.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,21,6
6,18684.0,7.0,6.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,27,7
7,18682.0,8.0,6.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,31,8
8,18680.0,8.0,8.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,35,9
9,18676.0,12.0,5.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,43,10
10,18668.0,16.0,9.0,1.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,55,11
11,18659.0,21.0,10.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,71,12
12,18652.0,24.0,12.0,3.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,84,13
13,18633.0,36.0,17.0,5.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,112,14
14,18615.0,46.0,22.0,4.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,143,15
15,18593.0,64.0,22.0,5.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,173,16
16,18563.0,84.0,32.0,5.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,213,17
17,18515.0,110.0,46.0,7.0,16.0,0.0,6.0,0.0,0.0,0.0,0.0,292,18
18,18457.0,144.0,58.0,14.0,18.0,0.0,9.0,0.0,0.0,0.0,0.0,389,19
19,18392.0,179.0,77.0,20.0,22.0,0.0,10.0,0.0,0.0,0.0,0.0,496,20
20,18310.0,220.0,100.0,24.0,34.0,0.0,12.0,0.0,0.0,0.0,0.0,639,21
21,18192.0,283.0,136.0,27.0,47.0,1.0,14.0,0.0,0.0,0.0,0.0,834,22
22,18042.0,362.0,172.0,43.0,64.0,1.0,16.0,0.0,0.0,0.0,0.0,1092,23
23,17826.0,483.0,222.0,61.0,87.0,1.0,20.0,0.0,0.0,0.0,0.0,1452,24
24,17561.0,616.0,317.0,66.0,109.0,0.0,30.0,1.0,0.0,0.0,0.0,1897,25
25,17269.0,784.0,381.0,81.0,140.0,2.0,41.0,2.0,0.0,0.0,0.0,2388,26
26,16877.0,1004.0,465.0,102.0,186.0,2.0,62.0,2.0,0.0,0.0,0.0,3061,27
27,16424.0,1236.0,582.0,133.0,242.0,2.0,79.0,2.0,0.0,0.0,0.0,3856,28
28,15874.0,1510.0,722.0,186.0,310.0,1.0,94.0,3.0,0.0,0.0,0.0,4834,29
29,15156.0,1901.0,883.0,243.0,381.0,2.0,130.0,4.0,0.0,0.0,0.0,6084,30
30,14326.0,2337.0,1080.0,315.0,460.0,1.0,176.0,5.0,0.0,0.0,0.0,7552,31
31,13314.0,2846.0,1339.0,391.0,581.0,1.0,223.0,5.0,0.0,0.0,0.0,9358,32
32,12168.0,3347.0,1686.0,493.0,714.0,2.0,285.0,5.0,0.0,0.0,0.0,11510,33
33,10892.0,3895.0,2039.0,627.0,885.0,4.0,352.0,6.0,0.0,0.0,0.0,13960,34
34,9489.0,4448.0,2460.0,752.0,1107.0,10.0,427.0,7.0,0.0,0.0,0.0,16725,35
35,7996.0,4996.0,2876.0,907.0,1374.0,12.0,527.0,12.0,0.0,0.0,0.0,19804,36
36,6598.0,5295.0,3291.0,1120.0,1688.0,12.0,677.0,19.0,0.0,0.0,0.0,23149,37
37,5242.0,5574.0,3636.0,1369.0,2004.0,13.0,841.0,21.0,0.0,0.0,0.0,26483,38
38,4070.0,5672.0,3938.0,1604.0,2340.0,17.0,1032.0,27.0,0.0,0.0,0.0,29708,39
39,3068.0,5541.0,4233.0,1827.0,2725.0,19.0,1257.0,30.0,0.0,0.0,0.0,32914,40
40,2236.0,5298.0,4437.0,2060.0,3116.0,21.0,1495.0,37.0,0.0,0.0,0.0,35947,41
41,1632.0,4913.0,4559.0,2313.0,3451.0,26.0,1764.0,42.0,0.0,0.0,0.0,38691,42
42,1137.0,4495.0,4534.0,2575.0,3796.0,36.0,2077.0,50.0,0.0,0.0,0.0,41376,43
43,759.0,4054.0,4468.0,2781.0,4116.0,37.0,2424.0,61.0,0.0,0.0,0.0,43828,44
44,533.0,3545.0,4393.0,2926.0,4374.0,39.0,2816.0,74.0,0.0,0.0,0.0,46021,45
45,343.0,3075.0,4220.0,3098.0,4603.0,38.0,3233.0,90.0,0.0,0.0,0.0,48152,46
46,217.0,2602.0,3998.0,3220.0,4818.0,49.0,3691.0,105.0,0.0,0.0,0.0,50198,47
47,150.0,2189.0,3698.0,3331.0,4995.0,44.0,4164.0,129.0,0.0,0.0,0.0,52041,48
48,97.0,1860.0,3420.0,3397.0,5114.0,40.0,4627.0,145.0,0.0,0.0,0.0,53627,49
49,68.0,1540.0,3110.0,3422.0,5235.0,51.0,5114.0,160.0,0.0,0.0,0.0,55193,50
50,48.0,1276.0,2817.0,3455.0,5285.0,55.0,5586.0,178.0,0.0,0.0,0.0,56586,51
51,33.0,1065.0,2486.0,3486.0,5300.0,57.0,6085.0,188.0,0.0,0.0,0.0,57905,52
52,26.0,901.0,2229.0,3483.0,5267.0,59.0,6532.0,203.0,0.0,0.0,0.0,58990,53
53,15.0,742.0,1990.0,3436.0,5233.0,60.0,7004.0,220.0,0.0,0.0,0.0,60089,54
54,11.0,632.0,1732.0,3406.0,5143.0,54.0,7481.0,241.0,0.0,0.0,0.0,61093,55
55,9.0,539.0,1510.0,3320.0,5052.0,55.0,7959.0,256.0,0.0,0.0,0.0,62017,56
56,8.0,440.0,1347.0,3224.0,4919.0,45.0,8439.0,278.0,0.0,0.0,0.0,62895,57
57,8.0,357.0,1174.0,3112.0,4824.0,45.0,8886.0,294.0,0.0,0.0,0.0,63713,58
58,4.0,288.0,1034.0,3036.0,4697.0,51.0,9287.0,303.0,0.0,0.0,0.0,64428,59
59,4.0,236.0,886.0,2956.0,4576.0,56.0,9672.0,314.0,0.0,0.0,0.0,65092,60
60,4.0,188.0,763.0,2867.0,4412.0,47.0,10083.0,336.0,0.0,0.0,0.0,65757,61
61,3.0,151.0,680.0,2757.0,4240.0,57.0,10465.0,347.0,0.0,0.0,0.0,66331,62
62,3.0,124.0,584.0,2664.0,4050.0,40.0,10861.0,374.0,0.0,0.0,0.0,66916,63
63,3.0,102.0,494.0,2567.0,3903.0,39.0,11205.0,387.0,0.0,0.0,0.0,67420,64
64,2.0,76.0,440.0,2473.0,3730.0,32.0,11547.0,400.0,0.0,0.0,0.0,67890,65
65,2.0,56.0,381.0,2371.0,3544.0,30.0,11903.0,413.0,0.0,0.0,0.0,68369,66
66,2.0,46.0,329.0,2247.0,3371.0,35.0,12247.0,423.0,0.0,0.0,0.0,68812,67
67,2.0,37.0,283.0,2157.0,3217.0,34.0,12539.0,431.0,0.0,0.0,0.0,69184,68
68,2.0,30.0,231.0,2049.0,3059.0,36.0,12851.0,442.0,0.0,0.0,0.0,69586,69
69,2.0,24.0,184.0,1952.0,2917.0,33.0,13136.0,452.0,0.0,0.0,0.0,69948,70
70,2.0,22.0,152.0,1830.0,2794.0,33.0,13405.0,462.0,0.0,0.0,0.0,70274,71
71,2.0,16.0,133.0,1747.0,2641.0,33.0,13656.0,472.0,0.0,0.0,0.0,70577,72
72,2.0,14.0,117.0,1647.0,2499.0,30.0,13907.0,484.0,0.0,0.0,0.0,70869,73
73,1.0,10.0,100.0,1562.0,2377.0,33.0,14125.0,492.0,0.0,0.0,0.0,71135,74
74,1.0,8.0,87.0,1474.0,2230.0,34.0,14362.0,504.0,0.0,0.0,0.0,71414,75
75,1.0,6.0,75.0,1391.0,2110.0,33.0,14571.0,513.0,0.0,0.0,0.0,71656,76
76,1.0,6.0,58.0,1340.0,2017.0,29.0,14729.0,520.0,0.0,0.0,0.0,71841,77
77,1.0,6.0,43.0,1283.0,1909.0,27.0,14905.0,526.0,0.0,0.0,0.0,72042,78
78,1.0,3.0,36.0,1228.0,1808.0,26.0,15066.0,532.0,0.0,0.0,0.0,72227,79
79,1.0,2.0,29.0,1155.0,1725.0,19.0,15226.0,543.0,0.0,0.0,0.0,72411,80
80,1.0,2.0,26.0,1090.0,1625.0,13.0,15388.0,555.0,0.0,0.0,0.0,72594,81
81,1.0,0.0,23.0,1027.0,1548.0,14.0,15528.0,559.0,0.0,0.0,0.0,72750,82
82,1.0,0.0,17.0,967.0,1465.0,15.0,15674.0,561.0,0.0,0.0,0.0,72907,83
83,1.0,0.0,16.0,918.0,1380.0,13.0,15807.0,565.0,0.0,0.0,0.0,73047,84
