,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18698.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1
1,18697.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2
2,18695.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,3
3,18694.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,4
4,18690.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12,5
5,18686.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18,6
6,18685.0,11.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19,7
7,18679.0,13.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,29,8
8,18675.0,16.0,4.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,36,9
9,18670.0,17.0,8.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,45,10
10,18657.0,27.0,9.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,63,11
11,18647.0,30.0,13.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,83,12
12,18629.0,40.0,17.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,114,13
13,18612.0,44.0,24.0,5.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,151,14
14,18578.0,70.0,28.0,5.0,16.0,0.0,3.0,0.0,0.0,0.0,0.0,198,15
15,18544.0,80.0,46.0,8.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,262,16
16,18502.0,102.0,58.0,11.0,22.0,0.0,5.0,0.0,0.0,0.0,0.0,334,17
17,18438.0,142.0,69.0,16.0,28.0,0.0,7.0,0.0,0.0,0.0,0.0,437,18
18,18358.0,186.0,91.0,20.0,37.0,0.0,8.0,0.0,0.0,0.0,0.0,568,19
19,18243.0,257.0,116.0,25.0,48.0,0.0,11.0,0.0,0.0,0.0,0.0,749,20
20,18095.0,337.0,157.0,32.0,63.0,0.0,16.0,0.0,0.0,0.0,0.0,997,21
21,17931.0,429.0,199.0,41.0,77.0,0.0,23.0,0.0,0.0,0.0,0.0,1270,22
22,17712.0,560.0,242.0,56.0,101.0,0.0,29.0,0.0,0.0,0.0,0.0,1628,23
23,17401.0,731.0,322.0,76.0,127.0,1.0,42.0,0.0,0.0,0.0,0.0,2153,24
24,17054.0,919.0,404.0,101.0,166.0,1.0,55.0,0.0,0.0,0.0,0.0,2749,25
25,16611.0,1168.0,516.0,127.0,206.0,1.0,71.0,0.0,0.0,0.0,0.0,3484,26
26,16084.0,1440.0,654.0,160.0,267.0,2.0,93.0,0.0,0.0,0.0,0.0,4406,27
27,15448.0,1774.0,807.0,221.0,338.0,1.0,110.0,1.0,0.0,0.0,0.0,5511,28
28,14649.0,2187.0,1009.0,270.0,437.0,3.0,143.0,2.0,0.0,0.0,0.0,6917,29
29,13691.0,2683.0,1270.0,325.0,543.0,4.0,181.0,3.0,0.0,0.0,0.0,8579,30
30,12610.0,3189.0,1569.0,419.0,667.0,3.0,237.0,6.0,0.0,0.0,0.0,10572,31
31,11418.0,3707.0,1906.0,525.0,822.0,4.0,311.0,7.0,0.0,0.0,0.0,12852,32
32,10056.0,4316.0,2284.0,643.0,991.0,4.0,397.0,9.0,0.0,0.0,0.0,15432,33
33,8724.0,4757.0,2683.0,801.0,1227.0,6.0,492.0,10.0,0.0,0.0,0.0,18246,34
34,7350.0,5187.0,3066.0,969.0,1489.0,13.0,614.0,12.0,0.0,0.0,0.0,21258,35
35,6032.0,5468.0,3458.0,1188.0,1782.0,11.0,744.0,17.0,0.0,0.0,0.0,24397,36
36,4772.0,5597.0,3844.0,1412.0,2126.0,11.0,913.0,25.0,0.0,0.0,0.0,27718,37
37,3641.0,5656.0,4156.0,1624.0,2442.0,23.0,1131.0,27.0,0.0,0.0,0.0,30916,38
38,2712.0,5506.0,4339.0,1887.0,2862.0,27.0,1332.0,35.0,0.0,0.0,0.0,34041,39
