,Susceptible,Exposed,Infected_Presymptomatic,Infected_Symptomatic,Infected_Asymptomatic,Hospitalized,Recovered,Fatalities,Detected_Presymptomatic,Detected_Symptomatic,Detected_Asymptomatic,T_index,Time
0,18696.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1
1,18694.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,2
2,18693.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3
3,18690.0,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13,4
4,18683.0,12.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,5
5,18665.0,26.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,6
6,18651.0,35.0,7.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,67,7
7,18628.0,52.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,97,8
8,18597.0,72.0,21.0,4.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,142,9
9,18549.0,105.0,31.0,7.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,212,10
10,18480.0,156.0,45.0,9.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,305,11
11,18390.0,217.0,64.0,13.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,434,12
12,18259.0,299.0,107.0,12.0,17.0,0.0,6.0,0.0,0.0,0.0,0.0,621,13
13,18044.0,450.0,141.0,24.0,32.0,0.0,9.0,0.0,0.0,0.0,0.0,933,14
14,17732.0,638.0,225.0,39.0,51.0,0.0,15.0,0.0,0.0,0.0,0.0,1415,15
15,17270.0,957.0,312.0,61.0,79.0,0.0,21.0,0.0,0.0,0.0,0.0,2082,16
16,16602.0,1388.0,484.0,90.0,105.0,0.0,31.0,0.0,0.0,0.0,0.0,3062,17
17,15737.0,1946.0,667.0,135.0,169.0,0.0,46.0,0.0,0.0,0.0,0.0,4373,18
18,14470.0,2770.0,938.0,200.0,259.0,1.0,62.0,0.0,0.0,0.0,0.0,6272,19
19,12935.0,3701.0,1348.0,287.0,342.0,0.0,85.0,2.0,0.0,0.0,0.0,8631,20
20,10971.0,4866.0,1822.0,403.0,506.0,3.0,127.0,2.0,0.0,0.0,0.0,11764,21
21,8790.0,6004.0,2444.0,538.0,732.0,8.0,180.0,4.0,0.0,0.0,0.0,15471,22
22,6515.0,6995.0,3203.0,704.0,996.0,10.0,271.0,6.0,0.0,0.0,0.0,19652,23
23,4489.0,7518.0,3988.0,943.0,1346.0,8.0,396.0,12.0,0.0,0.0,0.0,24034,24
24,2830.0,7658.0,4624.0,1216.0,1786.0,17.0,556.0,13.0,0.0,0.0,0.0,28266,25
25,1580.0,7394.0,5176.0,1500.0,2272.0,21.0,738.0,19.0,0.0,0.0,0.0,32190,26
26,810.0,6826.0,5482.0,1821.0,2752.0,19.0,966.0,24.0,0.0,0.0,0.0,35567,27
27,394.0,5942.0,5706.0,2143.0,3249.0,22.0,1215.0,29.0,0.0,0.0,0.0,38621,28
28,175.0,5059.0,5698.0,2466.0,3695.0,26.0,1543.0,38.0,0.0,0.0,0.0,41403,29
29,90.0,4220.0,5536.0,2722.0,4143.0,37.0,1907.0,45.0,0.0,0.0,0.0,43887,30
30,41.0,3516.0,5215.0,3017.0,4517.0,41.0,2294.0,59.0,0.0,0.0,0.0,46182,31
31,18.0,2868.0,4941.0,3168.0,4892.0,50.0,2695.0,68.0,0.0,0.0,0.0,48251,32
32,9.0,2341.0,4544.0,3346.0,5166.0,48.0,3158.0,88.0,0.0,0.0,0.0,50231,33
33,5.0,1902.0,4111.0,3512.0,5390.0,50.0,3624.0,106.0,0.0,0.0,0.0,52059,34
34,2.0,1593.0,3696.0,3641.0,5506.0,45.0,4095.0,122.0,0.0,0.0,0.0,53599,35
35,2.0,1299.0,3284.0,3718.0,5627.0,56.0,4575.0,139.0,0.0,0.0,0.0,55124,36
36,2.0,1098.0,2862.0,3740.0,5676.0,50.0,5112.0,160.0,0.0,0.0,0.0,56522,37
37,1.0,914.0,2514.0,3745.0,5649.0,54.0,5650.0,173.0,0.0,0.0,0.0,57810,38
38,0.0,772.0,2173.0,3727.0,5615.0,50.0,6170.0,193.0,0.0,0.0,0.0,58996,39
39,0.0,619.0,1945.0,3666.0,5525.0,53.0,6679.0,213.0,0.0,0.0,0.0,60082,40
40,0.0,487.0,1731.0,3602.0,5389.0,47.0,7206.0,238.0,0.0,0.0,0.0,61132,41
41,0.0,399.0,1479.0,3524.0,5333.0,61.0,7652.0,252.0,0.0,0.0,0.0,62048,42
42,0.0,331.0,1291.0,3436.0,5184.0,58.0,8127.0,273.0,0.0,0.0,0.0,62886,43
43,0.0,274.0,1127.0,3314.0,5033.0,61.0,8604.0,287.0,0.0,0.0,0.0,63672,44
44,0.0,221.0,982.0,3183.0,4893.0,60.0,9054.0,307.0,0.0,0.0,0.0,64413,45
45,0.0,180.0,822.0,3102.0,4736.0,60.0,9469.0,331.0,0.0,0.0,0.0,65118,46
46,0.0,145.0,667.0,3000.0,4608.0,52.0,9877.0,351.0,0.0,0.0,0.0,65785,47
47,0.0,124.0,563.0,2878.0,4428.0,65.0,10279.0,363.0,0.0,0.0,0.0,66371,48
48,0.0,102.0,470.0,2751.0,4238.0,60.0,10690.0,389.0,0.0,0.0,0.0,66966,49
49,0.0,83.0,405.0,2602.0,4059.0,58.0,11083.0,410.0,0.0,0.0,0.0,67503,50
50,0.0,60.0,336.0,2480.0,3894.0,59.0,11440.0,431.0,0.0,0.0,0.0,68019,51
51,0.0,47.0,275.0,2379.0,3722.0,57.0,11777.0,443.0,0.0,0.0,0.0,68465,52
52,0.0,41.0,240.0,2259.0,3513.0,51.0,12137.0,459.0,0.0,0.0,0.0,68899,53
53,0.0,34.0,206.0,2155.0,3333.0,50.0,12450.0,472.0,0.0,0.0,0.0,69286,54
54,0.0,28.0,178.0,2055.0,3177.0,40.0,12729.0,493.0,0.0,0.0,0.0,69637,55
55,0.0,22.0,148.0,1965.0,3029.0,42.0,12989.0,505.0,0.0,0.0,0.0,69966,56
56,0.0,20.0,118.0,1875.0,2890.0,40.0,13243.0,514.0,0.0,0.0,0.0,70270,57
57,0.0,16.0,88.0,1791.0,2761.0,31.0,13486.0,527.0,0.0,0.0,0.0,70569,58
58,0.0,12.0,79.0,1706.0,2612.0,28.0,13728.0,535.0,0.0,0.0,0.0,70841,59
59,0.0,12.0,56.0,1599.0,2494.0,30.0,13967.0,542.0,0.0,0.0,0.0,71119,60
60,0.0,11.0,54.0,1499.0,2365.0,25.0,14195.0,551.0,0.0,0.0,0.0,71365,61
61,0.0,11.0,44.0,1431.0,2247.0,20.0,14387.0,560.0,0.0,0.0,0.0,71580,62
62,0.0,9.0,35.0,1364.0,2137.0,16.0,14576.0,563.0,0.0,0.0,0.0,71786,63
63,0.0,8.0,29.0,1278.0,2021.0,24.0,14773.0,567.0,0.0,0.0,0.0,72007,64
64,0.0,7.0,27.0,1194.0,1922.0,21.0,14954.0,575.0,0.0,0.0,0.0,72205,65
65,0.0,5.0,25.0,1110.0,1813.0,18.0,15147.0,582.0,0.0,0.0,0.0,72415,66
